review_id,product_id,customer_id,rating,review_date,review_text
REV-001,1001,C002,5,2023-02-12,"Excellent laptop, fast and reliable."
REV-002,1003,C006,4,2023-02-07,"Good sound quality, comfortable to wear."
REV-003,1005,C001,5,2023-02-05,"Perfect size and resolution. Very satisfied!"
REV-004,1002,C003,3,2023-01-30,"Works well but battery life could be better."
REV-005,1007,C003,5,2023-02-22,"Super fast storage, easy to set up."
REV-006,1004,C009,4,2023-02-17,"Durable cable, good value for money."
REV-007,1001,C004,4,2023-03-14,"Great performance, slightly heavy though."
REV-008,1009,C006,5,2023-03-07,"Amazing sound quality for the size!"
REV-009,1006,C005,4,2023-02-27,"Responsive keyboard, nice design."
REV-010,1003,C008,4,2023-03-12,"Comfortable for long listening sessions."
REV-011,1010,C010,3,2023-03-17,"Good protection but a bit bulky."
REV-012,1008,C003,5,2023-03-05,"Crystal clear video quality, recommended!"
REV-013,1005,C005,4,2023-02-27,"Good color accuracy, minimal bezel."
REV-014,1007,C001,5,2023-02-24,"Best external SSD I've used."
REV-015,1004,C002,3,2023-03-15,"Works as expected, nothing special."
REV-016,1006,C003,4,2023-03-05,"Nice tactile feedback, battery lasts long."
REV-017,1002,C007,5,2023-03-04,"Perfect for travel, responsive tracking."
REV-018,1009,C003,4,2023-03-03,"Good smart features, sound could be better."
REV-019,1008,C006,5,2023-03-07,"Perfect for video conferences!"
REV-020,1010,C009,4,2023-03-19,"Good quality material, fits laptop perfectly."