date,product_id,product_name,category,subcategory,quantity,unit_price,total_sales,store_id,store_location
2024-01-01,P001,Ergonomic Chair,Furniture,Office,5,159.99,799.95,S01,New York
2024-01-01,P002,Standing Desk,Furniture,Office,2,249.99,499.98,S01,New York
2024-01-01,P003,Wireless Mouse,Electronics,Computer Accessories,10,24.99,249.90,S02,Chicago
2024-01-01,P004,Bluetooth Keyboard,Electronics,Computer Accessories,8,49.99,399.92,S02,Chicago
2024-01-01,P005,Laser Printer,Electronics,Office Equipment,3,199.99,599.97,S03,Los Angeles
2024-01-02,P001,Ergonomic Chair,Furniture,Office,3,159.99,479.97,S03,Los Angeles
2024-01-02,P006,Desk Lamp,Home Goods,Lighting,12,34.99,419.88,S01,New York
2024-01-02,P007,Notebook Set,Stationery,Paper Products,25,12.99,324.75,S02,Chicago
2024-01-02,P008,Ballpoint Pens (12pk),Stationery,Writing Instruments,15,8.99,134.85,S02,Chicago
2024-01-02,P009,Wireless Headphones,Electronics,Audio,7,79.99,559.93,S04,Seattle
2024-01-03,P010,Coffee Maker,Home Goods,Kitchen Appliances,4,89.99,359.96,S01,New York
2024-01-03,P011,Water Bottle,Home Goods,Kitchen Accessories,20,14.99,299.80,S03,Los Angeles
2024-01-03,P012,Laptop Sleeve,Electronics,Computer Accessories,9,19.99,179.91,S04,Seattle
2024-01-03,P013,USB-C Hub,Electronics,Computer Accessories,6,45.99,275.94,S02,Chicago
2024-01-03,P014,Monitor Stand,Furniture,Office,4,79.99,319.96,S01,New York
2024-01-04,P015,Whiteboard,Office Supplies,Presentation,2,129.99,259.98,S03,Los Angeles
2024-01-04,P016,Desk Organizer,Office Supplies,Organization,8,24.99,199.92,S04,Seattle
2024-01-04,P017,File Cabinet,Furniture,Storage,1,199.99,199.99,S01,New York
2024-01-04,P018,Wireless Charger,Electronics,Mobile Accessories,15,29.99,449.85,S02,Chicago
2024-01-04,P019,Smart Speaker,Electronics,Audio,5,99.99,499.95,S03,Los Angeles
2024-01-05,P020,External Hard Drive,Electronics,Storage Devices,3,89.99,269.97,S04,Seattle
2024-01-05,P021,Desk Chair Mat,Office Supplies,Floor Protection,6,39.99,239.94,S01,New York
2024-01-05,P022,Paper Shredder,Office Supplies,Organization,2,69.99,139.98,S02,Chicago
2024-01-05,P023,Stapler,Office Supplies,Fasteners,10,12.99,129.90,S03,Los Angeles
2024-01-05,P024,Wall Calendar,Stationery,Calendars,18,9.99,179.82,S04,Seattle